hash_cards,dealer_points,player_points,action,wins,loses
-8966761173881015621,1,15,hold,274,3766
7829082634292892192,2,3,hit,191,301
-8955741227996532374,10,2,hold,16,527
6823714584141573089,6,19,hit,79,754
-4198138203858121518,2,17,hit,406,1788
7302762172038243312,5,7,hit,1043,1529
8698819576812369548,8,16,hit,1000,3330
6530848690070092165,4,17,hit,310,1524
-446454168248613514,9,5,hold,94,886
-5293835536265448539,2,19,hit,101,859
-8968093317450717963,6,20,hold,11075,1339
8115282487467665332,9,15,hold,848,4368
-7132724757801053004,6,5,hit,670,1241
4697306538782554438,9,5,hit,458,1220
6329300598911457933,1,8,hit,566,2127
-8343500248447128673,8,11,hold,155,1019
-7943778530388614819,7,8,hold,348,1172
8399749742505319496,2,14,hit,1639,4329
-8783667311391942052,7,4,hold,65,552
2238016136364160689,4,18,hit,168,1027
-5014462930162970438,4,21,hold,3713,0
-1109024265650392681,9,15,hit,1395,4877
-8397656373619170716,8,2,hit,100,157
7575448260665889624,8,4,hit,365,726
3166449268037689763,8,6,hold,98,933
769818864685944859,1,15,hit,1047,6463
-6676174474702516324,6,8,hit,1455,1642
6831937737497222207,5,14,hit,2163,5063
1590177801777474952,2,11,hit,2777,2038
-3085555446478749694,9,10,hold,420,1394
-3256453974203747122,8,8,hit,1105,1891
8251979883836791361,8,9,hold,346,1369
2417724416750160298,8,10,hold,560,1335
1242764137741636557,1,18,hit,274,2302
2078593155126704909,7,11,hit,2918,2053
-4400949296729098916,6,11,hold,125,866
8775459927756590585,2,19,hold,5464,2179
7154953918722441619,5,11,hit,2916,1967
7582815242977986663,5,21,hit,0,451
8940138945549207212,2,9,hit,1641,2006
-7921782956538968934,2,15,hit,926,2847
-5653333250947589737,9,10,hit,2064,2272
2674876895028766778,9,18,hold,3130,4740
-6462312735589009788,5,5,hit,619,1028
-2739190964075960403,8,9,hit,1689,1970
-2040208638656798689,8,19,hold,7069,1385
-6589169289044603519,5,3,hold,45,428
-8454492512885322882,8,6,hit,768,1536
-5630217738756871818,5,12,hold,55,1336
-1272457655565221752,9,7,hold,143,1274
-1111999761753968603,3,7,hold,192,1034
-3068571313915492928,7,12,hold,60,1521
-5311039344756861592,2,6,hold,217,935
-9156493989178585706,9,6,hold,112,1010
8845231944689145694,8,15,hold,685,3162
-1580996467425244182,5,18,hold,4997,2845
-858967832953924158,6,9,hit,1914,1791
-2158117781521659291,9,3,hit,253,492
1029554534745489577,5,16,hold,3868,5072
655331170015259998,4,7,hold,220,989
2668742411944681881,2,18,hit,180,1004
3298296279060933294,1,10,hold,254,1574
2197924861264403695,4,2,hold,4,193
4823851970057790694,1,21,hit,0,582
850142243969352878,5,10,hit,2664,2108
145774685037121871,9,9,hit,1437,2325
964639789111161143,7,8,hit,1389,1537
3508388648122884616,6,16,hit,663,1814
-898211357949464886,4,19,hold,5694,1984
-7537358611129908443,2,9,hold,354,1293
-6691057629257854588,3,10,hit,2342,1992
-4621511037431646959,10,4,hit,1671,3636
4617027049022242655,6,19,hold,6530,1891
-2309199481432659369,9,13,hit,2385,6443
3911265551363311155,5,9,hit,1896,1882
7546574626033268559,5,16,hit,510,1817
7651912748431503846,4,8,hold,310,1065
-6127333855937862575,4,17,hold,3669,4181
-3418515851577616497,3,8,hold,335,1263
-1534231780032565310,4,4,hold,138,610
7048625326764048044,9,7,hit,780,1943
4410962077694688653,3,6,hold,214,927
3019568225309222830,8,18,hold,2836,2053
