hash_cards,dealer_points,player_points,action,wins,loses
507018793021788028,7,13,hit,2234,4914
-418389990338477157,7,17,hold,1177,1695
-5209070126399231308,1,18,hold,1638,4119
3390609132452744422,7,2,hold,7,150
8198299830584587055,8,20,hold,9525,776
-6543975782685164753,7,10,hold,396,1134
4038610013116896818,7,10,hit,1890,1483
-4789565800179358294,8,8,hold,179,967
4866882116002105133,2,12,hold,228,1958
-8207338827032447808,7,15,hold,639,2991
-8572851736269397292,7,6,hold,80,715
-6735531368784788798,3,17,hit,371,1588
5197461997748215637,3,6,hit,561,968
-4666173841466454590,4,12,hit,2429,4706
-4867324533437450327,2,14,hold,870,3344
-6513826618263936465,7,13,hold,147,1706
2160839240094485842,10,5,hit,1603,4573
-3249638933593054511,6,11,hit,2333,1582
-5319510541895469889,6,21,hit,0,443
8170375878116423091,10,3,hit,901,1881
-4761754388243525547,4,15,hit,771,2257
-8543323779078012757,4,18,hold,3621,2456
5682468161003262614,3,14,hit,1197,3175
-3404807902492182006,8,3,hit,218,417
6702925433193017938,3,21,hold,2619,0
2386042640009337095,6,10,hit,1967,1525
8497961884361136757,1,15,hold,221,3165
-2327606810320307672,2,3,hit,141,237
1169523802326225742,10,2,hold,12,453
5815787075815714239,6,19,hit,71,686
5094497233268433839,2,17,hit,345,1526
-1880946435371638703,5,7,hit,784,1165
-3568474672357466388,8,16,hit,767,2630
-3574976196235566977,4,17,hit,270,1306
3023305926384474504,9,5,hold,78,730
4308654827202461360,2,19,hit,86,785
-1410546816668732661,6,20,hold,8645,1061
4279471405860812864,9,15,hold,668,3493
-3380968786342417009,6,5,hit,496,952
-3558038692174206813,9,5,hit,346,911
-315220017870236471,1,8,hit,408,1618
-7943359684663482836,8,11,hold,124,900
-7473159004389775596,7,8,hold,298,973
5255515999163483779,2,14,hit,1258,3325
-6772812247238375655,7,4,hold,58,457
-4165624782818270668,4,18,hit,142,924
6037116605775750138,4,21,hold,2892,0
-8233740352777477748,9,15,hit,1060,3753
-2675644095739188069,8,2,hit,78,132
3689488869271581308,8,4,hit,277,544
3341691757052344351,8,6,hold,82,791
5013772307517245489,1,15,hit,791,4933
-1919466058540648374,6,8,hit,1086,1273
6198438891856988350,5,14,hit,1626,3859
5758242888334102251,2,11,hit,2063,1598
-5994582335431037881,9,10,hold,359,1189
