Total games played,Session games played,Wins,Loses
34036,61,19,41
34080,44,10,30
34183,103,39,57
34244,61,18,39
34411,167,66,94
34494,83,26,52
34589,95,31,56
34619,30,3,23
34682,63,21,40
34717,35,6,26
34836,119,46,67
34882,46,11,33
34947,65,19,43
35008,61,19,39
35040,32,6,24
35095,55,15,37
35163,68,21,43
35229,66,20,42
35258,29,4,23
35327,69,23,43
35392,65,21,41
35425,33,6,26
35488,63,20,40
35551,63,18,41
35624,73,24,45
35707,83,25,51
35751,44,11,29
35789,38,7,28
35864,75,23,46
35918,54,15,36
35980,62,19,40
36022,42,9,30
36083,61,18,41
36108,25,2,21
36184,76,23,46
36239,55,18,37
36308,69,22,43
36358,50,14,36
36382,24,3,21
36455,73,21,44
36494,39,9,29
36523,29,5,23
36569,46,12,33
36608,39,9,29
36717,109,40,65
36767,50,12,35
36853,86,30,52
36900,47,11,34
36929,29,3,23
36989,60,18,37
37032,43,11,31
37102,70,21,41
37154,52,14,35
37199,45,12,32
37244,45,10,33
37321,77,27,48
37365,44,10,32
37429,64,20,42
37463,34,7,26
37512,49,13,33
37579,67,21,43
37610,31,4,24
37696,86,26,51
37732,36,7,28
37776,44,9,31
37858,82,25,48
37902,44,11,32
37974,72,24,44
38013,39,8,28
38071,58,17,38
38151,80,23,48
38205,54,17,36
38269,64,20,41
38320,51,14,34
38381,61,18,40
38462,81,27,50
38493,31,5,25
38534,41,8,30
38611,77,25,45
38670,59,20,39
38724,54,15,36
38789,65,19,39
38864,75,25,49
38943,79,27,49
39007,64,18,41
39076,69,21,45
39127,51,14,34
39174,47,12,32
39219,45,10,31
39311,92,33,53
39411,100,35,63
39475,64,19,42
39582,107,37,62
39673,91,31,53
39720,47,13,31
39775,55,15,38
39881,106,38,62
39933,52,17,35
40013,80,28,50
40043,30,3,22
40098,55,14,39
40123,25,3,21
40153,30,5,25
40206,53,15,36
40238,32,7,25
40292,54,15,35
40347,55,16,38
40416,69,22,45
40473,57,16,36
40523,50,13,34
40619,96,33,57
40667,48,12,34
40717,50,14,32
40763,46,11,31
40828,65,20,40
40878,50,14,36
40925,47,12,34
40985,60,19,39
41023,38,6,28
41096,73,23,45
41134,38,8,29
41196,62,18,40
41245,49,12,32
41287,42,8,30
41328,41,9,29
41402,74,23,46
41470,68,21,42
41525,55,16,38
41563,38,7,27
41596,33,7,25
41661,65,21,43
41708,47,13,33
41756,48,13,33
41808,52,15,35
41850,42,9,29
41910,60,19,38
41957,47,12,33
42010,53,14,36
42076,66,20,42
42110,34,7,25
42161,51,15,33
42239,78,26,49
42312,73,26,46
42353,41,10,30
42408,55,15,37
42437,29,5,23
42484,47,12,33
42566,82,26,48
42626,60,18,40
42673,47,12,32
42700,27,2,22
42724,24,2,22
42803,79,28,50
42838,35,6,28
42905,67,21,42
42936,31,5,25
43017,81,29,47
43071,54,14,35
43181,110,42,62
43240,59,16,38
43306,66,23,42
43354,48,13,32
43416,62,19,40
43462,46,11,32
43538,76,24,47
43615,77,24,44
43659,44,9,29
43715,56,15,39
43803,88,29,54
43840,37,8,28
43908,68,21,44
43989,81,27,49
